Comparing to baseline with opponent black model: never 
|     | Policy                                                               | Black Model   |   Mean VP |   Difference (Policy - Baseline) |   Difference Std. Error |
|  76 | Chip Prioritisation - Buy only ['O', 'BK', 'P']                      | never         |   31.5387 |                       -3.228     |                0.156917 |
|  77 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'Y']                 | never         |   31.3333 |                       -3.43333   |                0.156748 |
|  78 | Chip Prioritisation - Buy only ['BK', 'P', 'Y']                      | never         |   31.3133 |                       -3.45333   |                0.158558 |
|  79 | Chip Prioritisation - Buy only ['BL', 'R']                           | never         |   31.2853 |                       -3.48133   |                0.159237 |
|  80 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G', 'Y']           | never         |   31.253  |                       -3.51367   |                0.157335 |
|  81 | Chip Prioritisation - Buy only ['BL']                                | never         |   31.1493 |                       -3.61733   |                0.1404   |
|  82 | Chip Prioritisation - Buy only ['BL', 'G']                           | never         |   31.113  |                       -3.65367   |                0.149759 |
|  83 | Chip Prioritisation - Buy only ['BL', 'R', 'G']                      | never         |   31.0933 |                       -3.67333   |                0.15917  |
|  84 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'P']                  | never         |   31.088  |                       -3.67867   |                0.146163 |
|  85 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'Y']                | never         |   31.077  |                       -3.68967   |                0.155943 |
|  86 | Chip Prioritisation - Buy only ['O', 'R', 'P']                       | never         |   30.98   |                       -3.78667   |                0.146485 |
|  87 | Chip Prioritisation - Buy only ['BK', 'G', 'P']                      | never         |   30.97   |                       -3.79667   |                0.158451 |
|  88 | Chip Prioritisation - Buy only ['O', 'BK', 'Y']                      | never         |   30.6647 |                       -4.102     |                0.15993  |
|  89 | Chip Prioritisation - Buy only ['O', 'BK', 'G']                      | never         |   30.6033 |                       -4.16333   |                0.168977 |
|  90 | Chip Prioritisation - Buy only ['BK', 'R', 'Y']                      | never         |   30.4983 |                       -4.26833   |                0.150129 |
|  91 | Chip Prioritisation - Buy only ['BL', 'G', 'Y']                      | never         |   30.491  |                       -4.27567   |                0.151473 |
|  92 | Chip Prioritisation - Buy only ['BK', 'R', 'G']                      | never         |   30.4803 |                       -4.28633   |                0.155305 |
|  93 | Chip Prioritisation - Buy only ['R', 'G', 'P', 'Y']                  | never         |   30.437  |                       -4.32967   |                0.148904 |
|  94 | Chip Prioritisation - Buy only ['BL', 'G', 'P']                      | never         |   30.384  |                       -4.38267   |                0.145419 |
|  95 | Chip Prioritisation - Buy only ['BK', 'G', 'Y']                      | never         |   30.344  |                       -4.42267   |                0.164186 |
|  96 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'Y']                 | never         |   30.1893 |                       -4.57733   |                0.154816 |
|  97 | Chip Prioritisation - Buy only ['R', 'P', 'Y']                       | never         |   30.163  |                       -4.60367   |                0.144392 |
|  98 | Chip Prioritisation - Buy only ['BL', 'R', 'Y']                      | never         |   30.154  |                       -4.61267   |                0.153714 |
|  99 | Chip Prioritisation - Buy only ['G']                                 | never         |   30.15   |                       -4.61667   |                0.149712 |
| 100 | Chip Prioritisation - Buy only ['O', 'G']                            | never         |   30.109  |                       -4.65767   |                0.142435 |
| 101 | Chip Prioritisation - Buy only ['BK', 'P']                           | never         |   30.013  |                       -4.75367   |                0.148735 |
| 102 | Chip Prioritisation - Buy only ['BL', 'Y']                           | never         |   29.8937 |                       -4.873     |                0.147034 |
| 103 | Chip Prioritisation - Buy only ['BK', 'R']                           | never         |   29.581  |                       -5.18567   |                0.148669 |
| 104 | Chip Prioritisation - Buy only ['O', 'G', 'P', 'Y']                  | never         |   29.5137 |                       -5.253     |                0.142233 |
| 105 | Chip Prioritisation - Buy only ['BK', 'Y']                           | never         |   29.3047 |                       -5.462     |                0.152373 |
| 106 | Chip Prioritisation - Buy only ['O', 'P', 'Y']                       | never         |   29.2093 |                       -5.55733   |                0.140194 |
| 107 | Chip Prioritisation - Buy only ['BK', 'G']                           | never         |   29.0703 |                       -5.69633   |                0.159876 |
| 108 | Chip Prioritisation - Buy only ['R', 'G']                            | never         |   28.6907 |                       -6.076     |                0.145981 |
| 109 | Chip Prioritisation - Buy only ['R', 'G', 'Y']                       | never         |   28.6687 |                       -6.098     |                0.147697 |
| 110 | Chip Prioritisation - Buy only ['O', 'BK']                           | never         |   28.5407 |                       -6.226     |                0.155491 |
| 111 | Chip Prioritisation - Buy only ['R', 'Y']                            | never         |   28.3513 |                       -6.41533   |                0.143945 |
| 112 | Chip Prioritisation - Buy only ['R', 'P']                            | never         |   28.3397 |                       -6.427     |                0.139482 |
| 113 | Chip Prioritisation - Buy only ['R', 'G', 'P']                       | never         |   28.255  |                       -6.51167   |                0.139232 |
| 114 | Chip Prioritisation - Buy only ['R']                                 | never         |   28.185  |                       -6.58167   |                0.144225 |
| 115 | Chip Prioritisation - Buy only ['O', 'G', 'Y']                       | never         |   28.0017 |                       -6.765     |                0.142258 |
| 116 | Chip Prioritisation - Buy only ['G', 'P', 'Y']                       | never         |   27.8963 |                       -6.87033   |                0.137937 |
| 117 | Chip Prioritisation - Buy only ['P', 'Y']                            | never         |   27.8063 |                       -6.96033   |                0.135821 |
| 118 | Chip Prioritisation - Buy only ['O', 'G', 'P']                       | never         |   27.2187 |                       -7.548     |                0.136594 |
| 119 | Chip Prioritisation - Buy only ['O', 'P']                            | never         |   27.204  |                       -7.56267   |                0.135948 |
| 120 | Chip Prioritisation - Buy only ['P']                                 | never         |   26.9963 |                       -7.77033   |                0.133959 |
| 121 | Chip Prioritisation - Buy only ['O', 'Y']                            | never         |   26.91   |                       -7.85667   |                0.136051 |
| 122 | Chip Prioritisation - Buy only ['BK']                                | never         |   26.6307 |                       -8.136     |                0.144523 |
| 123 | Chip Prioritisation - Buy only ['O']                                 | never         |   26.469  |                       -8.29767   |                0.127928 |
| 124 | Chip Prioritisation - Buy only ['G', 'Y']                            | never         |   26.3973 |                       -8.36933   |                0.137822 |
| 125 | Chip Prioritisation - Buy only ['G', 'P']                            | never         |   26.3117 |                       -8.455     |                0.133934 |
| 126 | Chip Prioritisation - Buy only ['Y']                                 | never         |   26.0463 |                       -8.72033   |                0.136887 |
Comparing to baseline with opponent black model: random 
|     | Policy                                                               | Black Model   |   Mean VP |   Difference (Policy - Baseline) |   Difference Std. Error |
|----:|:---------------------------------------------------------------------|:--------------|----------:|---------------------------------:|------------------------:|
|   0 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'P']                 | random        |   36.4043 |                         1.58367  |                0.172762 |
|   1 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G', 'P']            | random        |   35.758  |                         0.937333 |                0.169115 |
|   2 | Chip Prioritisation - Buy only ['O', 'BL', 'R']                      | random        |   35.623  |                         0.802333 |                0.179441 |
|   3 | Chip Prioritisation - Buy only ['O', 'BL', 'P', 'Y']                 | random        |   35.022  |                         0.201333 |                0.157243 |
|   4 | Chip Prioritisation - Buy only ['O', 'BL', 'G', 'P', 'Y']            | random        |   35.017  |                         0.196333 |                0.15488  |
|   5 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'P']                | random        |   34.5893 |                        -0.231333 |                0.156116 |
|   6 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G']                 | random        |   34.5223 |                        -0.298333 |                0.170197 |
|   7 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'P', 'Y']            | random        |   34.4483 |                        -0.372333 |                0.1639   |
|   8 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'P']           | random        |   34.4457 |                        -0.375    |                0.157062 |
|   9 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'P']           | random        |   34.3823 |                        -0.438333 |                0.163245 |
|  10 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G', 'P', 'Y']       | random        |   34.3747 |                        -0.446    |                0.165613 |
|  11 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G', 'P']      | random        |   34.3517 |                        -0.469    |                0.165822 |
|  12 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'P', 'Y']      | random        |   34.003  |                        -0.817667 |                0.155844 |
|  13 | Chip Prioritisation - Buy only ['O', 'BL', 'G']                      | random        |   33.8007 |                        -1.02     |                0.155513 |
|  14 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'Y']                 | random        |   33.636  |                        -1.18467  |                0.171598 |
|  15 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'P', 'Y']           | random        |   33.5307 |                        -1.29     |                0.150841 |
|  16 | Chip Prioritisation - Buy only ['BL', 'R', 'P']                      | random        |   33.4853 |                        -1.33533  |                0.164637 |
|  17 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'P', 'Y']             | random        |   33.312  |                        -1.50867  |                0.154918 |
|  18 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G', 'Y']            | random        |   33.3077 |                        -1.513    |                0.166054 |
|  19 | Chip Prioritisation - Buy only ['O', 'BL']                           | random        |   33.2587 |                        -1.562    |                0.142495 |
|  20 | Chip Prioritisation - Buy only ['O', 'BL', 'P']                      | random        |   33.2417 |                        -1.579    |                0.146182 |
|  21 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'P', 'Y']      | random        |   33.2257 |                        -1.595    |                0.164242 |
|  22 | Chip Prioritisation - Buy only ['O', 'R', 'P', 'Y']                  | random        |   33.2073 |                        -1.61333  |                0.154749 |
|  23 | Chip Prioritisation - Buy only ['O', 'BL', 'G', 'Y']                 | random        |   33.1967 |                        -1.624    |                0.156446 |
|  24 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G', 'P', 'Y'] | random        |   33.1283 |                        -1.69233  |                0.163526 |
|  25 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R']                | random        |   32.93   |                        -1.89067  |                0.165747 |
|  26 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'P']                 | random        |   32.8367 |                        -1.984    |                0.162343 |
|  27 | Chip Prioritisation - Buy only ['BL', 'P', 'Y']                      | random        |   32.817  |                        -2.00367  |                0.153304 |
|  28 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G']           | random        |   32.802  |                        -2.01867  |                0.162998 |
|  29 | Chip Prioritisation - Buy only ['O', 'BL', 'Y']                      | random        |   32.7753 |                        -2.04533  |                0.152563 |
|  30 | Chip Prioritisation - Buy only ['BL', 'G', 'P', 'Y']                 | random        |   32.6943 |                        -2.12633  |                0.154601 |
|  31 | Chip Prioritisation - Buy only ['BK', 'BL', 'P']                     | random        |   32.5393 |                        -2.28133  |                0.157124 |
|  32 | Chip Prioritisation - Buy only ['O', 'R', 'G']                       | random        |   32.517  |                        -2.30367  |                0.1612   |
|  33 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G', 'P']            | random        |   32.5107 |                        -2.31     |                0.157858 |
|  34 | Chip Prioritisation - Buy only ['BK', 'BL', 'G', 'P']                | random        |   32.4637 |                        -2.357    |                0.155463 |
|  35 | Chip Prioritisation - Buy only ['O', 'BL', 'G', 'P']                 | random        |   32.3727 |                        -2.448    |                0.146642 |
|  36 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G', 'Y']      | random        |   32.3593 |                        -2.46133  |                0.16394  |
|  37 | Chip Prioritisation - Buy only ['BK', 'BL', 'G', 'P', 'Y']           | random        |   32.3517 |                        -2.469    |                0.152881 |
|  38 | Chip Prioritisation - Buy only ['O', 'R']                            | random        |   32.277  |                        -2.54367  |                0.160159 |
|  39 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'Y']           | random        |   32.2423 |                        -2.57833  |                0.160942 |
|  40 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G', 'P', 'Y']       | random        |   32.205  |                        -2.61567  |                0.155163 |
|  41 | Chip Prioritisation - Buy only ['BK', 'BL', 'P', 'Y']                | random        |   32.1227 |                        -2.698    |                0.152452 |
|  42 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G']                | random        |   32.1003 |                        -2.72033  |                0.153881 |
|  43 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'Y']                  | random        |   32.1003 |                        -2.72033  |                0.155691 |
|  44 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'P']                 | random        |   31.9503 |                        -2.87033  |                0.154639 |
|  45 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'Y']           | random        |   31.934  |                        -2.88667  |                0.151744 |
|  46 | Chip Prioritisation - Buy only ['O', 'R', 'Y']                       | random        |   31.886  |                        -2.93467  |                0.158921 |
|  47 | Chip Prioritisation - Buy only ['O', 'BK', 'BL']                     | random        |   31.854  |                        -2.96667  |                0.151715 |
|  48 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'P', 'Y']            | random        |   31.8057 |                        -3.015    |                0.152411 |
|  49 | Chip Prioritisation - Buy only ['BL', 'R', 'P', 'Y']                 | random        |   31.7883 |                        -3.03233  |                0.155739 |
|  50 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'P', 'Y']            | random        |   31.736  |                        -3.08467  |                0.156899 |
|  51 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G', 'P']           | random        |   31.6647 |                        -3.156    |                0.155086 |
|  52 | Chip Prioritisation - Buy only ['BL', 'P']                           | random        |   31.4773 |                        -3.34333  |                0.146396 |
|  53 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'P']                | random        |   31.4683 |                        -3.35233  |                0.156868 |
|  54 | Chip Prioritisation - Buy only ['BL', 'R']                           | random        |   31.381  |                        -3.43967  |                0.158313 |
|  55 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'Y']                | random        |   31.3757 |                        -3.445    |                0.15024  |
|  56 | Chip Prioritisation - Buy only ['BL', 'R', 'G']                      | random        |   31.1937 |                        -3.627    |                0.162129 |
|  57 | Chip Prioritisation - Buy only ['BL']                                | random        |   31.191  |                        -3.62967  |                0.141199 |
|  58 | Chip Prioritisation - Buy only ['BL', 'G']                           | random        |   31.182  |                        -3.63867  |                0.150855 |
|  59 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'P', 'Y']           | random        |   30.9807 |                        -3.84     |                0.153049 |
|  60 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'P']                  | random        |   30.9377 |                        -3.883    |                0.146742 |
|  61 | Chip Prioritisation - Buy only ['O', 'R', 'P']                       | random        |   30.9323 |                        -3.88833  |                0.147712 |
|  62 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G', 'P', 'Y']      | random        |   30.852  |                        -3.96867  |                0.153994 |
|  63 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G', 'Y']            | random        |   30.8497 |                        -3.971    |                0.153191 |
|  64 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G']                 | random        |   30.6437 |                        -4.177    |                0.157578 |
|  65 | Chip Prioritisation - Buy only ['BL', 'G', 'P']                      | random        |   30.533  |                        -4.28767  |                0.145557 |
|  66 | Chip Prioritisation - Buy only ['BL', 'G', 'Y']                      | random        |   30.477  |                        -4.34367  |                0.152891 |
|  67 | Chip Prioritisation - Buy only ['R', 'G', 'P', 'Y']                  | random        |   30.467  |                        -4.35367  |                0.148721 |
|  68 | Chip Prioritisation - Buy only ['R', 'P', 'Y']                       | random        |   30.364  |                        -4.45667  |                0.146241 |
|  69 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'Y']                 | random        |   30.294  |                        -4.52667  |                0.154143 |
|  70 | Chip Prioritisation - Buy only ['BL', 'R', 'Y']                      | random        |   30.2793 |                        -4.54133  |                0.156747 |
|  71 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'Y']                 | random        |   30.2687 |                        -4.552    |                0.151236 |
|  72 | Chip Prioritisation - Buy only ['O', 'G']                            | random        |   30.242  |                        -4.57867  |                0.145087 |
|  73 | Chip Prioritisation - Buy only ['BK', 'BL', 'G', 'Y']                | random        |   30.2403 |                        -4.58033  |                0.151548 |
|  74 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G']                | random        |   30.0743 |                        -4.74633  |                0.156559 |
|  75 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'P', 'Y']            | random        |   30.0237 |                        -4.797    |                0.149336 |
|  76 | Chip Prioritisation - Buy only ['O', 'BK', 'R']                      | random        |   29.9257 |                        -4.895    |                0.152672 |
|  77 | Chip Prioritisation - Buy only ['G']                                 | random        |   29.917  |                        -4.90367  |                0.149499 |
|  78 | Chip Prioritisation - Buy only ['BL', 'Y']                           | random        |   29.898  |                        -4.92267  |                0.146291 |
|  79 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G', 'Y']           | random        |   29.686  |                        -5.13467  |                0.151085 |
|  80 | Chip Prioritisation - Buy only ['O', 'BK', 'G', 'P', 'Y']            | random        |   29.6777 |                        -5.143    |                0.154869 |
|  81 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'P']                 | random        |   29.658  |                        -5.16267  |                0.148365 |
|  82 | Chip Prioritisation - Buy only ['BK', 'BL', 'G']                     | random        |   29.6543 |                        -5.16633  |                0.152179 |
|  83 | Chip Prioritisation - Buy only ['BK', 'BL', 'R']                     | random        |   29.6397 |                        -5.181    |                0.153456 |
|  84 | Chip Prioritisation - Buy only ['BK', 'BL', 'Y']                     | random        |   29.6017 |                        -5.219    |                0.148775 |
